1870	1.7669	1.9176	1.9565
1871	1.7766	1.9059	1.9794
1872	1.7764	1.8798	2.012
1873	1.7942	1.8727	2.0449
1874	1.8156	1.8984	2.0561
1875	1.8083	1.9137	2.0678
1876	1.8083	1.9176	2.0561
1877	1.8067	1.9176	2.0428
1878	1.8166	1.942	2.029
1879	1.8041	1.9547	1.998
1880	1.8053	1.9379	1.9884
1881	1.8242	1.9462	1.9835
1882	1.8395	1.9504	1.9773
1883	1.8464	1.9504	1.9748
1884	1.8492	1.9723	1.9629
1885	1.8668	2	1.9396
1886	1.8783	2.0097	1.9309
1887	1.8914	2.0146	1.9271
1888	1.9166	2.0146	1.9239
1889	1.9363	2.0097	1.9414
1890	1.9548	2.0097	1.9685
1891	1.9453	2.0097	1.9727
1892	1.9292	2.0048	1.9736
1893	1.9209	2.0097	1.9499
1894	1.951	2.0296	1.9432
1895	1.9776	2.0339	1.9569
1896	1.9814	2.0399	1.9647
1897	1.9819	2.0296	1.971
1898	1.9828	2.0146	1.9719
1899	2.0076	2.0245	1.9956
1900	2	2	2
1901	1.9939	2.0048	1.9904
1902	1.9933	2.0048	1.9752
1903	1.9797	2	1.9494
1904	1.9772	1.9952	1.9332
1905	1.9924	1.9952	1.9139
1906	2.0117	1.9905	1.9091
1907	2.0204	1.9813	1.9139
1908	2.0018	1.9905	1.8886
1909	2.0038	1.9859	1.7945
1910	2.0099	2.0518	1.7644
1911	2.0174	2.0474	1.7817
1912	2.0279	2.0341	1.7784
1913	2.0359	2.0255	1.7945
1914	2.0216	2.0341	1.7888
1915	1.9896	1.9445	1.8751
1916	1.9843	1.9939	1.7853
1917	1.9764	2.2082	1.6075
1918	1.9965	2.27	1.5185
1919	2.0652	2.243	1.6513
1920	2.0369	2.2567	1.6247
1921	1.9723	2.2988	1.5391
1922	1.9797	2.3723	1.4922
1923	2.0136	2.4105	1.4606
1924	2.0165	2.4081	1.4551
1925	2.0213	2.4081	1.4425
1926	2.0206	2.4367	1.4023
1927	2.0563	2.4284	1.3991
1928	2.0579	2.431	1.3798
1929	2.0649	2.4363	1.3782
1930	2.0582	2.4552	1.3366
1931	2.0517	2.4838	1.3026
1932	2.0491	2.4958	1.2592
1933	2.0766	2.5048	1.2635
1934	2.089	2.5017	1.2549
1935	2.1059	2.4958	1.2527
1936	2.1205	2.4838	1.2763
1937	2.1205	2.4636	1.2906
1938	1.1182	2.458	1.2721
