1	0.3745	0.9507	0.7320	0.5987	0.1560	0.1560	0.0581	0.8662	16.8383
2	0.6011	0.7081	0.0206	0.9699	0.8324	0.2123	0.1818	0.1834	28.1864
3	0.3042	0.5248	0.4319	0.2912	0.6119	0.1395	0.2921	0.3664	10.8722
4	0.4561	0.7852	0.1997	0.5142	0.5924	0.0465	0.6075	0.1705	18.9310
5	0.0651	0.9489	0.9656	0.8084	0.3046	0.0977	0.6842	0.4402	15.8704
6	0.1220	0.4952	0.0344	0.9093	0.2588	0.6625	0.3117	0.5201	16.6101
7	0.5467	0.1849	0.9696	0.7751	0.9395	0.8948	0.5979	0.9219	19.9809
8	0.0885	0.1960	0.0452	0.3253	0.3887	0.2713	0.8287	0.3568	9.8776
9	0.2809	0.5427	0.1409	0.8022	0.0746	0.9869	0.7722	0.1987	15.5821
10	0.0055	0.8155	0.7069	0.7290	0.7713	0.0740	0.3585	0.1159	12.1437
11	0.8631	0.6233	0.3309	0.0636	0.3110	0.3252	0.7296	0.6376	12.6913
12	0.8872	0.4722	0.1196	0.7132	0.7608	0.5613	0.7710	0.4938	23.5082
13	0.5227	0.4275	0.0254	0.1079	0.0314	0.6364	0.3144	0.5086	12.1989
14	0.9076	0.2493	0.4104	0.7556	0.2288	0.0770	0.2898	0.1612	15.3844
15	0.9297	0.8081	0.6334	0.8715	0.8037	0.1866	0.8926	0.5393	20.1309
16	0.8074	0.8961	0.3180	0.1101	0.2279	0.4271	0.8180	0.8607	10.5364
17	0.0070	0.5107	0.4174	0.2221	0.1199	0.3376	0.9429	0.3232	3.0684
18	0.5188	0.7030	0.3636	0.9718	0.9624	0.2518	0.4972	0.3009	24.0124
19	0.2848	0.0369	0.6096	0.5027	0.0515	0.2786	0.9083	0.2396	5.8543
20	0.1449	0.4895	0.9857	0.2421	0.6721	0.7616	0.2376	0.7282	12.7080
21	0.3678	0.6323	0.6335	0.5358	0.0903	0.8353	0.3208	0.1865	12.8388
22	0.0408	0.5909	0.6776	0.0166	0.5121	0.2265	0.6452	0.1744	4.1131
23	0.6909	0.3867	0.9367	0.1375	0.3411	0.1135	0.9247	0.8773	14.3381
24	0.2579	0.6600	0.8172	0.5552	0.5297	0.2419	0.0931	0.8972	15.3097
25	0.9004	0.6331	0.3390	0.3492	0.7260	0.8971	0.8871	0.7799	17.3989
26	0.6420	0.0841	0.1616	0.8986	0.6064	0.0092	0.1015	0.6635	15.9966
27	0.0051	0.1608	0.5487	0.6919	0.6520	0.2243	0.7122	0.2372	10.2518
28	0.3254	0.7465	0.6496	0.8492	0.6576	0.5683	0.0937	0.3677	19.1399
29	0.2652	0.2440	0.9730	0.3931	0.8920	0.6311	0.7948	0.5026	14.8848
30	0.5769	0.4925	0.1952	0.7225	0.2808	0.0243	0.6455	0.1771	18.2732
31	0.9405	0.9539	0.9149	0.3702	0.0155	0.9283	0.4282	0.9667	10.3969
32	0.9636	0.8530	0.2944	0.3851	0.8511	0.3169	0.1695	0.5568	14.2574
33	0.9362	0.6960	0.5701	0.0972	0.6150	0.9901	0.1401	0.5183	13.0322
34	0.8774	0.7408	0.6970	0.7025	0.3595	0.2936	0.8094	0.8101	18.5097
35	0.8671	0.9132	0.5113	0.5015	0.7983	0.6500	0.7020	0.7958	15.0924
36	0.8900	0.3380	0.3756	0.0940	0.5783	0.0359	0.4656	0.5426	12.2461
37	0.2865	0.5908	0.0305	0.0373	0.8226	0.3602	0.1271	0.5222	13.9665
38	0.7700	0.2158	0.6229	0.0853	0.0517	0.5314	0.5406	0.6374	6.4007
39	0.7261	0.9759	0.5163	0.3230	0.7952	0.2708	0.4390	0.0785	15.1400
40	0.0254	0.9626	0.8360	0.6960	0.4090	0.1733	0.1564	0.2502	12.0281
41	0.5492	0.7146	0.6602	0.2799	0.9549	0.7379	0.5544	0.6117	17.5218
42	0.4196	0.2477	0.3560	0.7578	0.0144	0.1161	0.0460	0.0407	11.2732
43	0.8555	0.7037	0.4742	0.0978	0.4916	0.4735	0.1732	0.4339	12.9412
44	0.3985	0.6159	0.6351	0.0453	0.3746	0.6259	0.5031	0.8565	9.6597
45	0.6587	0.1629	0.0706	0.6424	0.0265	0.5858	0.9402	0.5755	13.5531
46	0.3882	0.6433	0.4583	0.5456	0.9415	0.3861	0.9612	0.9054	17.2629
47	0.1958	0.0694	0.1008	0.0182	0.0944	0.6830	0.0712	0.3190	4.2685
